id,localid,name,description,value,quantity,powerdissipation,location,datasheet,unit,maxvoltage,elementtype
235,koi25m6,"KOI 2,5 M6",M6,2.5,164,-,-,,mm,-,terminator
236,koi25m8,"KOI 2,5-6 M8",M8,2.5,85,-,-,,mm,-,terminator
237,kwi2535,"KWI 2,5/3,5",,2.5,76,-,-,,mm,-,terminator
238,ki4808,"KI 4,8-2,5/0,8",,2.5,80,-,-,,mm,-,terminator
239,gp2x4m254,"Goldpin listwa 2x4 M Raster 2,54mm",2X4 M,2.54,14,-,-,,mm,-,connector
240,gp2x4z254,"Goldpin listwa 2x4 Z Raster 2,54mm",2x4 Z ,2.54,6,-,-,,mm,-,connector
241,gp1x40m254,"Goldpin listwa 1x40 M Raster 2,54mm",1x40 M ,2.54,10,-,-,,mm,-,connector
242,gp2x40m254,"Goldipn listwa 2x40 M Raster 2,54mm",2x40 M ,2.54,1,-,-,,mm,-,connector
243,gp1x8m16,"Goldpin listwa 1x8 M Raster 1,6mm","1,8 M ",1.6,10,-,-,,mm,-,connector
244,hi0256,"HI 0,25/6",,0.25,999,-,-,,mm,-,terminator
245,hi0348,"HI 0,34/8",,0.34,999,-,-,,mm,-,terminator
246,hi0510,"HI 0,5/10",,0.5,999,-,-,,mm,-,terminator
247,hi07510,"HI 0,75/10",,0.75,999,-,-,,mm,-,terminator
248,hi1512,"HI 1,5/12",,1.5,999,-,-,,mm,-,terminator
249,hi2058,"HI 2x0,5/8",,0.5,999,-,-,,mm,-,terminator
250,hi07512,"HI 0,75/12",,0.75,999,-,-,,mm,-,terminator
251,hi0758,"HI 2x0,75/8",,0.75,999,-,-,,mm,-,terminator
252,hi218,HI 2x1/8,,1.0,999,-,-,,mm,-,terminator
253,hi2158,"HI 2x1,5/8",,1.0,999,-,-,,mm,-,terminator
254,WJ15EDGRC,Zlacze WJ15EDGRC zenskie,,0.0,195,-,-,,,-,connector
255,gp2x20m16,"Goldpin listwa dluga 2x20 M Raster 1,6mm",2x20 M,1.6,19,-,-,,mm,-,connector
256,WJ15EDGKD,Zlacze WJ15EDGKD Meskie,,0.0,336,-,-,,,-,connector
257,gp2x5m254z,"Goldpin listwa 2x5 M Raster 2,54mm zielone",2x5 M ,2.54,5,-,-,,mm,-,connector
258,gp2x5m254cz,"Goldpin listwa 2x5 M Raster 2,54mm czarne",2x5 M ,2.54,20,-,-,,mm,-,connector
259,gp2x20z16,"Goldpin listwa 2x20 Z Raster 1,6mm",2x20 Z,1.6,9,-,-,,mm,-,connector
260,miniusb,Gniazdo mini USB,USB,0.0,4,-,-,,,-,connector
261,KRJ458P8C,Konektor RJ45 8P8C,RJ45,0.0,10,-,-,,,-,connector
262,ZRJ45,Zlacze RJ45,RJ45,0.0,5,-,-,,,-,connector
,elementy indukcyjne,,,,,,,,,,
